question_id,category,difficulty,answerable,document_hit_at_k,reciprocal_rank,citations_valid,abstention_correct,retrieval_latency_ms,generation_latency_ms,total_latency_ms,ragas_answer_correct,ragas_faithfulness,ragas_factual_correctness,ragas_context_precision,embedding_tokens,generation_input_tokens,generation_output_tokens,rag_total_tokens
1,Factual,medium,True,True,0.5,True,,609.0838000018266,1348.4504000007291,1957.7072999964003,False,1.0,0.25,0.5333333333155555,37,2834,69,2940
2,Factual,medium,True,False,0.0,False,,479.67809999681776,1312.3568000009982,1792.052999997395,False,0.0,0.0,0.0,37,2519,13,2569
3,Factual,hard,True,True,0.5,True,,415.28919999836944,2104.4477000032202,2519.9149000036414,False,0.875,0.6,0.4777777777618519,31,2597,143,2771
4,Factual,medium,True,False,0.0,True,,420.3047000046354,2122.8304999967804,2543.1618000002345,False,0.75,0.5,0.99999999998,35,3060,114,3209
5,Factual,medium,True,True,1.0,True,,467.49439999985043,2325.731700002507,2793.2588000039686,False,0.8571428571428571,0.67,0.99999999998,30,2366,111,2507
6,Factual,medium,True,True,1.0,True,,436.828300000343,1707.5766999987536,2144.630300004792,True,1.0,1.0,0.9166666666361111,24,2151,80,2255
7,Factual,medium,True,False,0.0,False,,486.79100000299513,1022.5881999940611,1509.4005999999354,False,0.0,0.0,0.9999999999,26,2865,13,2904
8,Factual,hard,True,False,0.0,True,,414.5594000001438,1703.411700000288,2117.9897999973036,False,1.0,0.0,0.32499999998375,29,2541,112,2682
9,Procedural,medium,True,True,1.0,True,,438.09239999973215,2149.9843999990844,2588.094300001103,False,1.0,0.5,0.8666666666377778,23,2330,151,2504
10,Procedural,medium,True,False,0.0,True,,441.67140000354266,1866.48779999814,2308.177600003546,False,0.8571428571428571,0.73,0.99999999998,23,2546,122,2691
11,Procedural,hard,True,False,0.0,False,,463.41039999970235,1475.7937000031234,1939.2291000040132,False,0.0,0.0,0.99999999998,21,2748,13,2782
12,Procedural,hard,True,True,0.5,False,,446.33579999936046,628.0496000035782,1074.406200001249,False,0.0,0.0,0.0,16,2343,12,2371
13,Procedural,hard,True,True,0.25,True,,458.6580999966827,2742.667700003949,3201.3460000016494,False,1.0,0.0,0.99999999998,26,2857,200,3083
14,Procedural,medium,True,False,0.0,False,,450.0642999992124,786.8385999972816,1236.9210999968345,False,0.0,0.0,0.99999999998,22,2499,12,2533
15,Procedural,medium,True,True,0.5,True,,479.9580999970203,3500.0671000016155,3980.0422999978764,False,1.0,0.56,0.94999999997625,24,2699,258,2981
